Item Name,Item Type,Location,Detailed Info,Date Added,Date Updated,Date Recycled
Test,Test,Test,Test,2023-01-01,2023-04-16,None
SearchTermTest,SearchType1,SearchLocation1,SearchDetails1,SearchAdd1,SearchUpdate1,None
SearchTest2,SearchTermTest,SearchLocation2,SearchDetails2,SearchAdd2,SearchUpdate2,None
SearchTest3,SearchType3,SearchTermTest,SearchDetails3,SearchAdd3,SearchUpdate3,None
SearchTest4,SearchType4,SearchLocation4,SearchTermTest,SearchAdd4,SearchUpdate4,None
SearchTest5,SearchType5,SearchLocation5,SearchDetails5,SearchTermTest,SearchUpdate5,None
SearchTest6,SearchType6,SearchLocation6,SearchDetails6,SearchAdd6,SearchTermTest,None
SearchTest7,SearchType7,SearchLocation7,SearchDetails7,SearchAdd7,SearchUpdate7,SearchTermTest
Red Bicycle,Transportation,Garage,Classic Cruiser,2021-03-08,2021-06-25,None
Blue Sunglasses,Accessory,Closet,Mirrored Lenses,2021-05-22,2021-10-04,None
Fuzzy Blanket,Home Decor,Living Room,Soft and Cozy,2021-12-11,2022-03-05,None
Yellow Notebook,Stationery,Desk,Blank Pages,2022-04-02,2022-06-30,None
Silver Spoon,Kitchen Utensil,Silverware Drawer,Polished Finish,2022-03-20,2022-09-01,None
Green Cactus,Plant,Windowsill,Thorny Succulent,2021-08-05,2022-02-14,None
Black Headphones,Electronics,Bedroom,Over-ear Design,2021-11-09,2022-07-07,None
Purple Scarf,Accessory,Closet,Thick Knit,2022-02-16,2022-08-20,None
White Pillow,Bedding,Bed,Fluffy and Soft,2021-07-13,2021-12-02,None
Golden Ring,Jewelry,Jewelry Box,Embedded Gemstones,2021-09-28,2022-06-12,None
Brown Leather Wallet,Accessory,Purse,Zipper Closure,2022-01-10,2022-04-28,None
Gray Umbrella,Accessory,Coat Rack,Foldable and Portable,2021-10-19,2022-05-09,None
White T-Shirt,Clothing,Dresser,Cotton Material,2022-03-15,2022-07-17,None
Black Belt,Accessory,Closet,Leather Material,2021-12-26,2022-02-27,None
Red Baseball Cap,Accessory,Closet,Adjustable Strap,2022-04-08,2022-08-12,None
Green Plant,Plant,Living Room,Oxygen-giving,2021-06-28,2022-01-08,None
Gold Earrings,Jewelry,Jewelry Box,Stylish Design,2022-02-05,2022-06-30,None
Silver Necklace,Jewelry,Jewelry Box,Dangling Pendant,2021-09-12,2022-04-22,None
Brown Leather Shoes,Footwear,Closet,Lace-up Design,2021-08-12,2022-02-18,None
Blue Coffee Mug,Kitchenware,Dining Table,Stoneware Material,2022-01-01,2022-06-23,None
Black Wallet,Accessory,Purse,Minimalist Design,2022-03-30,2022-08-08,None
White Socks,Clothing,Dresser,Ankle Length,2021-11-30,2022-05-01,None
Pink Backpack,Accessory,Closet,Waterproof Material,2022-05-10,2022-09-15,None
Silver Watch,Accessory,Dresser,Chronograph Function,2022-02-28,2022-07-05,None
Purple Pen,Stationery,Desk,Retractable,2021-12-05,2022-04-10,None
Black Laptop,Electronics,Office,Intel Core i7,2022-01-20,2022-06-25,None
Green Towel,Bathroom,Linen Closet,Quick-drying,2021-08-30,2022-01-04,None
Yellow Raincoat,Clothing,Closet,Hooded,2022-03-10,2022-07-15,None
Red Backpack,Accessory,Closet,Laptop Compartment,2022-05-01,2022-09-05,None
Blue Marker,Stationery,Desk,Fine Point,2021-12-15,2022-04-20,None
White Headphones,Electronics,Bedroom,Noise-canceling,2022-01-05,2022-06-10,None
Gray Scarf,Accessory,Closet,Lightweight,2022-03-20,2022-07-25,None
Orange Juice,Kitchenware,Refrigerator,100% Pure,2022-05-15,2022-09-20,None
Black Dress,Clothing,Closet,Formal Wear,2022-02-10,2022-06-15,None
Pink Shoes,Footwear,Closet,Slip-on Style,2022-01-15,2022-06-20,None
Green Water Bottle,Accessory,Gym,BPA-free,2021-12-20,2022-04-25,None
Blue Notebook,Stationery,Desk,Ruled Pages,2022-03-25,2022-07-30,None
Yellow Tote Bag,Accessory,Closet,Canvas Material,2022-05-05,2022-09-10,None
Red Wallet,Accessory,Purse,Coin Pocket,2022-01-30,2022-06-05,None
White Sneakers,Footwear,Closet,Casual Style,2022-02-15,2022-07-20,None
Gray Hoodie,Clothing,Dresser,Drawstring Hood,2022-04-05,2022-08-10,None
Orange Pillow,Bedding,Bed,Memory Foam,2022-05-20,2022-09-25,None
Black Sunglasses,Accessory,Closet,Polarized Lenses,2022-01-10,2022-06-15,None
Purple Bag,Accessory,Purse,Shoulder Strap,2022-02-25,2022-07-30,None
Green Jacket,Clothing,Closet,Water-resistant,2022-03-15,2022-07-20,None
Pink Sweater,Clothing,Dresser,Cable Knit,2022-04-10,2022-08-15,None
Blue Towel,Bathroom,Linen Closet,Soft and Absorbent,2022-05-05,2022-09-10,None
Red Pen,Stationery,Desk,Gel Ink,2022-01-20,2022-06-25,None
Black Backpack,Accessory,Closet,Laptop Sleeve,2022-02-05,2022-07-10,None
Yellow Umbrella,Accessory,Coat Rack,Windproof,2022-03-25,2022-07-30,None
White Dress,Clothing,Closet,Summer Style,2022-04-20,2022-08-25,None
Gray Wallet,Accessory,Purse,Card Slots,2022-05-15,2022-09-20,None
Orange Hat,Accessory,Closet,Sun Protection,2022-01-30,2022-06-05,None
Pink Earrings,Jewelry,Jewelry Box,Hoop Style,2022-02-15,2022-07-20,None
Black Belt,Clothing,Closet,Fabric Material,2022-03-10,2022-07-15,None
Blue Pencil,Stationery,Desk,HB Lead,2022-04-05,2022-08-10,None
Red Shoes,Footwear,Closet,High Heels,2022-05-20,2022-09-25,None
Green T-Shirt,Clothing,Dresser,V-neck,2022-01-10,2022-06-15,None
Purple Backpack,Accessory,Closet,Water-resistant,2022-02-25,2022-07-30,None
Yellow Sunglasses,Accessory,Closet,Aviator Style,2022-03-15,2022-07-20,None
Black Jacket,Clothing,Closet,Leather Material,2022-04-10,2022-08-15,None
Blue Sweater,Clothing,Dresser,Wool Blend,2022-05-05,2022-09-10,None
Red Towel,Bathroom,Linen Closet,Striped Pattern,2022-01-20,2022-06-25,None
Green Pen,Stationery,Desk,Highlighter,2022-02-05,2022-07-10,None
Pink Headphones,Electronics,Bedroom,Wireless,2022-03-25,2022-07-30,None
Black Scarf,Accessory,Closet,Infinity Style,2022-04-20,2022-08-25,None
Yellow Bag,Accessory,Purse,Tote Style,2022-05-15,2022-09-20,None
Blue Jacket,Clothing,Closet,Lightweight,2022-01-30,2022-06-05,None
Red Sneakers,Footwear,Closet,Running Shoes,2022-02-15,2022-07-20,None
Green Hoodie,Clothing,Dresser,Fleece Lining,2022-03-10,2022-07-15,None
Purple Pillow,Bedding,Bed,Hypoallergenic,2022-04-05,2022-08-10,None
Black Notebook,Stationery,Desk,Dot Grid Pages,2022-05-20,2022-09-25,None
